Index;Season;Episode;Episode_name;Character_name;Type_Dialogue;Dialogue
1;1;1;Lonely Rolling Bocchi;Students;Talk;Come over now if you wanna play hide-and-seek! Me! I'll play! Me! I'll play!
2;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;The girl who wonders, Would it be okay for me to join in? and so misses her chance, ending up all alone.
3;1;1;Lonely Rolling Bocchi;Teacher Kinder;Talk;Hitori-chan, what's wrong?
4;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;The girl who ends up all alone at a picnic, swapping parts of her lunch with the teacher.
5;1;1;Lonely Rolling Bocchi;Teacher Picnic;Talk;Here you go.
6;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;I'm home.
7;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;I'm home. The girl who doesn't join any clubs, comes home right after school,
8;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;and finds her smartphone full of nothing but messages from her parents and coupon offers. That's me. Hitori Goto, first-year in middle school.
9;1;1;Lonely Rolling Bocchi;TV;Talk;And here, we'll stir-fry it a bit. There's a lot of vegetables, so you can probably make it quickly if you cut them in advance. You can probably do that in the morning, yeah. Lately I've gotten good at making so many dishes so quickly I thought I didn't need to know any more, but lately I'm learning once again how interesting cooking can be. Personally I like a lot of options with rice. Oh, of course. But you—
10;1;1;Lonely Rolling Bocchi;Hitori Gotou;Inner Voice;Sometimes I think I should really change the way I am... But I always stammer when I try to speak, and I'm really bad at keeping eye contact... A life as the archetypal introvert just seems to fit me best.
11;1;1;Lonely Rolling Bocchi;Naoki Gotou;Talk;You watching this?
12;1;1;Lonely Rolling Bocchi;Hitori Gotou;Talk;Nah.
13;1;1;Lonely Rolling Bocchi;Instorms Band Member;Talk;Back in school, I was the guy who sat in the back of the classroom pretending to read. No friends.
14;1;1;Lonely Rolling Bocchi;Interviewer;Talk;And now you're part of a band that's extremely popular with young people!
15;1;1;Lonely Rolling Bocchi;Instorms Band Member;Talk;Yeah. A band is a place where even introverts can shine.
